Date,Open,High,Low,Close,AdjustedClose,Volume
2018-08-03,103.515,104.37,102.74,103.995,100.126,267579200
2018-08-06,104.0,104.625,103.535,104.535,100.646,203403200
2018-08-07,104.66,104.75,103.38,103.555,99.702,204699200
2018-08-08,103.025,103.905,102.26,103.625,99.77,180204000
2018-08-09,104.765,104.89,103.6,104.44,100.554,187940800
2018-08-10,103.68,104.55,103.335,103.765,100.255,196889600
2018-08-13,104.655,105.475,103.85,104.435,100.902,207127200
2018-08-14,105.08,105.28,104.13,104.875,101.327,165984000
2018-08-15,104.61,105.37,104.165,105.12,101.564,230460800
2018-08-16,105.875,106.905,105.735,106.66,103.052,228003200
2018-08-17,106.72,108.975,106.58,108.79,105.11,283416000
2018-08-20,109.05,109.59,107.555,107.73,104.086,242301600
2018-08-21,108.4,108.595,107.015,107.52,103.883,209278400
2018-08-22,107.05,108.18,106.92,107.525,103.888,152144800
2018-08-23,107.325,108.525,107.3,107.745,104.1,151065600
2018-08-24,108.3,108.45,107.555,108.08,104.424,147811200
2018-08-27,108.575,109.37,108.165,108.97,105.284,164200800
2018-08-28,109.505,110.27,109.46,109.85,106.134,182214400
2018-08-29,110.075,111.745,109.705,111.49,107.718,218038400
2018-08-30,111.625,114.13,111.2,112.515,108.709,390350400
2018-08-31,113.255,114.435,113.0,113.815,109.965,346720800
2018-09-04,114.205,114.59,113.315,114.18,110.317,219120800
2018-09-05,114.495,114.835,112.55,113.435,109.598,266664000
2018-09-06,113.115,113.675,110.65,111.55,107.776,274320000
2018-09-07,110.925,112.685,110.355,110.65,106.907,300958400
2018-09-10,110.475,110.925,108.235,109.165,105.472,316132000
2018-09-11,109.005,112.15,108.28,111.925,108.139,285992000
2018-09-12,112.47,112.5,109.92,110.535,106.796,394229600
2018-09-13,111.76,114.175,111.285,113.205,109.375,333651200
2018-09-14,112.875,113.42,111.26,111.92,108.134,255994400
2018-09-17,111.075,111.475,108.635,108.94,105.255,297560800
2018-09-18,108.895,110.925,108.56,109.12,105.429,252573600
2018-09-19,109.25,109.81,107.65,109.185,105.491,216990400
2018-09-20,110.12,111.14,109.575,110.015,106.293,212870400
2018-09-21,110.39,110.68,108.645,108.83,105.148,769973600
2018-09-24,108.41,110.63,108.315,110.395,106.66,221547200
2018-09-25,109.875,111.41,109.85,111.095,107.337,196435200
2018-09-26,110.5,111.875,109.88,110.21,106.482,191877600
2018-09-27,111.91,113.22,111.77,112.475,108.67,241449600
2018-09-28,112.395,112.92,112.01,112.87,109.052,183435200
2018-10-01,113.975,114.71,113.175,113.63,109.786,188806400
2018-10-02,113.625,115.0,113.315,114.64,110.762,198305600
2018-10-03,115.025,116.735,114.89,116.035,112.11,229238400
2018-10-04,115.39,116.175,113.365,113.995,110.139,256336000
2018-10-05,113.98,114.205,110.29,112.145,108.351,268644000
